Age,Gender,Education,Role,AvgVisitDuration,PrescriptionAttitude,PublicationsNumber,CongressesAttended,PartnershipsPhC,CollabAttitudePhC,AvgOpenedEmail,VisitsLandingPageLY,AccessOnlineServiceLY,AttendedEventsLY,ClickthroughRate,OpenRate,EngagementDriver
32,F,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,8,16,3,0.02076107585709108,0.12855516184661303,Personalization
35,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,19,4,0.19731909379939255,0.4022521528442889,Call to Action
27,F,Doctor of Dental Medicine,Dentist,20.0,Neutral,4,1,0,Negative,1.0,5,10,2,0.02279066329724446,0.08322834955446512,Content Relevance
29,M,Doctor of Medicine,Physician,25.0,Positive,5,2,1,Neutral,2.0,7,14,3,0.2960868610589681,0.6096414798737225,Sender Name
34,F,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,19,4,0.07229187824902666,0.09056222630140155,Content Format
28,M,Doctor of Medicine,Physician,20.0,Neutral,3,1,0,Negative,1.0,4,8,2,0.03983448578675474,0.10488677096739592,Content Format
36,F,Doctor of Medicine,Physician,35.0,Positive,10,4,1,Neutral,4.0,13,26,6,0.30037375605158617,0.618338187100466,Email Subject Line
41,M,Doctor of Dental Medicine,Dentist,40.0,Positive,14,6,4,Positive,6.0,18,40,9,0.2928483682236334,0.5641466418253187,Personalization
30,F,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,8,16,3,0.1768375560866988,0.3930604225791634,Content Format
33,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.04793974841015168,0.10620076976509873,Call to Action
38,F,Bachelor of Science,Registered Nurse,35.0,Positive,12,4,2,Positive,4.0,15,31,7,0.2560360009623152,0.5935664943985605,Sender Name
25,M,Doctor of Dental Medicine,Dentist,20.0,Neutral,3,1,0,Negative,1.0,4,9,2,0.012718417968884087,0.11315002619715059,Content Relevance
31,F,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,8,15,3,0.31307745658796604,0.6234917113171375,Content Relevance
35,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,20,4,0.1937551750624871,0.4343689037104011,Email Subject Line
39,F,Doctor of Dental Medicine,Dentist,35.0,Positive,11,4,1,Neutral,4.0,14,29,7,0.3438717196334626,0.6140494182150493,Call to Action
27,F,Doctor of Dental Medicine,Dentist,20.0,Neutral,4,1,0,Negative,1.0,5,10,2,0.041926749377311764,0.08158636008302592,Content Relevance
29,M,Doctor of Medicine,Physician,25.0,Positive,5,2,1,Neutral,2.0,7,14,3,0.32748204527217173,0.6199535805727677,Sender Name
34,F,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,19,4,0.037408508316452024,0.09545919893492842,Content Format
28,M,Doctor of Medicine,Physician,20.0,Neutral,3,1,0,Negative,1.0,4,8,2,0.013934729774159264,0.09287730065307172,Content Format
36,F,Doctor of Medicine,Physician,35.0,Positive,10,4,1,Neutral,4.0,13,26,6,0.32655899367323,0.6114965413445154,Email Subject Line
41,M,Doctor of Dental Medicine,Dentist,40.0,Positive,14,6,4,Positive,6.0,18,40,9,0.3133000787713226,0.5840115383740335,Personalization
30,F,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,8,16,3,0.16583195469224024,0.37936319687453796,Content Format
33,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.05414675575915938,0.12666250676922872,Call to Action
38,F,Bachelor of Science,Registered Nurse,35.0,Positive,12,4,2,Positive,4.0,15,31,7,0.3316425675871853,0.5641682818020006,Sender Name
25,M,Doctor of Dental Medicine,Dentist,20.0,Neutral,3,1,0,Negative,1.0,4,9,2,0.025710509925679574,0.10820928606713709,Content Relevance
31,F,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,8,15,3,0.2729934220318351,0.6073721216346338,Content Relevance
35,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,20,4,0.17983570270187932,0.37967552532582877,Email Subject Line
39,F,Doctor of Dental Medicine,Dentist,35.0,Positive,11,4,1,Neutral,4.0,14,29,7,0.2617041053322837,0.6087918497966968,Call to Action
26,M,Doctor of Medicine,Physician,20.0,Neutral,2,1,0,Negative,1.0,3,7,2,0.027652508643140082,0.0944237051736366,Personalization
30,F,Doctor of Osteopathic Medicine,Surgeon,25.0,Positive,6,2,1,Neutral,2.0,8,16,3,0.17569107317368265,0.3747833236870389,Call to Action
33,M,Bachelor of Science,Registered Nurse,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.05322520288804258,0.12489255820411645,Content Relevance
40,F,Doctor of Medicine,Physician,40.0,Positive,12,5,2,Positive,5.0,17,38,8,0.25338929929038717,0.6148225124896444,Sender Name
27,M,Doctor of Medicine,Physician,20.0,Neutral,3,1,0,Negative,1.0,5,10,2,0.03671365439400122,0.09854014714234113,Content Relevance
34,F,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,12,22,5,0.1849321026010123,0.38378979292952903,Personalization
29,M,Doctor of Medicine,Physician,25.0,Positive,5,2,1,Neutral,2.0,7,14,3,0.08095904182797181,0.12346160577047995,Content Format
32,F,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.05464105787260553,0.05301854817862161,Content Relevance
36,M,Doctor of Medicine,Physician,35.0,Positive,10,4,1,Neutral,4.0,13,27,6,0.30713535819979043,0.5853191167214323,Email Subject Line
37,F,Doctor of Dental Medicine,Dentist,35.0,Positive,11,4,1,Neutral,4.0,14,28,7,0.27605043102083676,0.5880272570903462,Personalization
28,M,Bachelor of Science,Registered Nurse,20.0,Neutral,2,1,0,Negative,1.0,3,7,2,0.036673936723302394,0.10297378761988045,Content Relevance
33,F,Doctor of Medicine,Physician,30.0,Positive,7,3,1,Neutral,3.0,10,19,4,0.22256647105133145,0.39683340770691394,Personalization
40,M,Doctor of Dental Medicine,Dentist,35.0,Positive,12,5,2,Positive,5.0,17,36,8,0.2841769887123419,0.6152614690894086,Content Format
26,F,Doctor of Osteopathic Medicine,Surgeon,20.0,Neutral,3,1,0,Negative,1.0,5,11,2,0.06036768154506213,0.125963559407438,Content Relevance
31,M,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,8,16,3,0.03905838376542111,0.11934274756793037,Email Subject Line
35,F,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.3148242179686189,0.6242981334189872,Content Relevance
29,M,Doctor of Medicine,Physician,25.0,Positive,5,2,1,Neutral,2.0,7,14,3,0.030932675997092485,0.10243823412179676,Personalization
38,F,Doctor of Medicine,Physician,35.0,Positive,12,4,2,Positive,4.0,15,32,7,0.3111493525128774,0.604505961948734,Content Format
27,M,Doctor of Dental Medicine,Dentist,20.0,Neutral,3,1,0,Negative,1.0,4,9,2,0.07057017999799764,0.0970521899773389,Email Subject Line
32,F,Doctor of Dental Medicine,Dentist,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.0567233679828145,0.13991728270509443,Personalization
33,M,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,21,5,0.24497129618301766,0.4101388706472419,Email Subject Line
35,F,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.22145790164525897,0.43389330363647194,Content Relevance
28,M,Doctor of Medicine,Physician,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.046721517487438025,0.08017412804219255,Email Subject Line
36,F,Doctor of Dental Medicine,Dentist,35.0,Positive,10,4,1,Neutral,4.0,13,26,6,0.32533367892984427,0.5938143804556851,Content Format
39,M,Doctor of Medicine,Physician,40.0,Positive,12,5,2,Positive,5.0,18,38,8,0.32776003247261504,0.5723482000024344,Sender Name
31,F,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.06014068181694927,0.07344579160405769,Personalization
29,M,Doctor of Medicine,Physician,25.0,Positive,5,2,1,Neutral,2.0,7,15,3,0.04488223764215935,0.09784872830423064,Content Format
34,F,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.20456604612502655,0.42907594628723683,Personalization
27,M,Bachelor of Science,Registered Nurse,20.0,Neutral,3,1,0,Negative,1.0,3,6,2,0.0286421241589682,0.07972907221754011,Content Relevance
32,F,Doctor of Dental Medicine,Dentist,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.041652164790599286,0.1089104628935472,Email Subject Line
37,M,Doctor of Medicine,Physician,35.0,Positive,11,4,1,Neutral,4.0,14,30,7,0.32522826986104286,0.6021068688243336,Content Relevance
38,F,Doctor of Dental Medicine,Dentist,35.0,Positive,12,4,2,Positive,4.0,15,33,7,0.306969789017601,0.6449298018624754,Content Format
26,M,Doctor of Medicine,Physician,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.043967918801608434,0.10761346056707126,Email Subject Line
31,F,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.07914382883750845,0.10889445729289579,Content Relevance
35,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.19685282729335923,0.37976057578932365,Personalization
29,M,Doctor of Medicine,Physician,25.0,Positive,5,2,1,Neutral,2.0,7,15,3,0.08635000068879856,0.11260292151411833,Sender Name
32,F,Doctor of Dental Medicine,Dentist,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.031214339219858254,0.11234533401272064,Content Relevance
33,M,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,21,5,0.18556449812730788,0.40558744553942555,Personalization
35,F,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.20814117254878367,0.40813244917582103,Email Subject Line
28,M,Doctor of Medicine,Physician,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.06284828730718174,0.08548614063618136,Content Format
36,F,Doctor of Dental Medicine,Dentist,35.0,Positive,10,4,1,Neutral,4.0,13,26,6,0.27739178216401766,0.6116993514894827,Content Relevance
39,M,Doctor of Medicine,Physician,40.0,Positive,12,5,2,Positive,5.0,18,38,8,0.29136118990833615,0.5984930185449434,Email Subject Line
31,F,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.0588038187311294,0.1207174917877922,Sender Name
29,M,Doctor of Medicine,Physician,25.0,Positive,5,2,1,Neutral,2.0,7,15,3,0.07958432178551271,0.1203494601239194,Content Format
34,F,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.1789047961066739,0.4084290407740114,Content Relevance
27,M,Bachelor of Science,Registered Nurse,20.0,Neutral,3,1,0,Negative,1.0,3,6,2,0.06616203392124467,0.09178061219530606,Personalization
32,F,Doctor of Dental Medicine,Dentist,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.0466672108413733,0.11148428360143822,Content Format
37,M,Doctor of Medicine,Physician,35.0,Positive,11,4,1,Neutral,4.0,14,30,7,0.2832787559128732,0.5869088277942486,Personalization
38,F,Doctor of Dental Medicine,Dentist,35.0,Positive,12,4,2,Positive,4.0,15,33,7,0.29113367253747446,0.5746760354720148,Email Subject Line
26,M,Doctor of Medicine,Physician,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.049132502403823795,0.09586288769882985,Content Relevance
31,F,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.05425107273675835,0.13695912296494928,Sender Name
32,F,Doctor of Dental Medicine,Dentist,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.05018048272449339,0.10033718805329321,Personalization
29,M,Doctor of Medicine,Physician,25.0,Positive,5,2,1,Neutral,2.0,7,15,3,0.06767112522432517,0.08532679520895942,Content Relevance
33,F,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.17997557512677964,0.39381673631174224,Email Subject Line
36,M,Doctor of Medicine,Physician,35.0,Positive,10,4,1,Neutral,4.0,13,26,6,0.32498579695080565,0.5965209135856704,Content Relevance
40,F,Doctor of Dental Medicine,Dentist,40.0,Positive,13,5,2,Positive,5.0,20,41,9,0.3017038312820458,0.6199446670268626,Sender Name
30,M,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.0400965281076796,0.10046004000679652,Content Format
28,F,Doctor of Osteopathic Medicine,Surgeon,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.05346910286246461,0.10854337786173932,Email Subject Line
31,M,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.08246606252085409,0.11510017643880742,Personalization
35,F,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.17644472079997925,0.3847432575805834,Content Format
39,M,Doctor of Dental Medicine,Dentist,35.0,Positive,11,4,1,Neutral,4.0,14,30,7,0.2898144296823224,0.6147792661841817,Sender Name
32,F,Doctor of Medicine,Physician,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.06140317173129601,0.1033357940508361,Content Relevance
28,M,Doctor of Dental Medicine,Dentist,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.03689037109456784,0.11304473937794338,Personalization
37,F,Doctor of Medicine,Physician,35.0,Positive,12,4,2,Positive,4.0,15,33,7,0.32280869418717245,0.6205042686984399,Content Format
31,M,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.05843744683485094,0.09229582437739223,Sender Name
36,F,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,9,4,1,Neutral,4.0,12,23,5,0.21385449375183904,0.395648949961957,Email Subject Line
29,M,Doctor of Dental Medicine,Dentist,25.0,Positive,5,2,1,Neutral,2.0,7,15,3,0.022209547796306437,0.0765690010965569,Content Format
29,F,Doctor of Dental Medicine,Dentist,25.0,Positive,5,2,1,Neutral,2.0,7,15,3,0.07205732137194912,0.09859749167528446,Sender Name
31,M,Doctor of Osteopathic Medicine,Surgeon,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.022317298030156734,0.10088811433317034,Content Format
37,F,Doctor of Medicine,Physician,35.0,Positive,11,4,1,Neutral,4.0,14,30,7,0.3016130326836481,0.6254371789070864,Personalization
30,M,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.07060467755065919,0.11243469615060092,Content Relevance
34,F,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.1795607535751641,0.3802616674984921,Email Subject Line
28,M,Doctor of Dental Medicine,Dentist,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.05069202353759171,0.11288153104416185,Sender Name
31,F,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.0702709196127567,0.11275349206141697,Personalization
35,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,9,4,1,Neutral,4.0,12,23,5,0.19102039237192311,0.3754797490181385,Content Relevance
30,F,Doctor of Dental Medicine,Dentist,25.0,Positive,5,2,1,Neutral,2.0,7,15,3,0.05598720571204735,0.10104324552314287,Content Format
33,M,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.21386895103721562,0.38957355713891895,Personalization
39,F,Doctor of Dental Medicine,Dentist,35.0,Positive,11,4,1,Neutral,4.0,14,30,7,0.290460634031215,0.5949338352235506,Email Subject Line
34,M,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.19476464724082543,0.39062869485091756,Sender Name
32,F,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.08005691537618219,0.11700938806786287,Content Relevance
26,M,Doctor of Medicine,Physician,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.016316563555495302,0.08188469007454066,Email Subject Line
33,F,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.19362890664167803,0.39164341137435776,Content Format
27,M,Doctor of Medicine,Physician,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.04858616706672074,0.10666320588635081,Personalization
29,F,Doctor of Dental Medicine,Dentist,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.041173370824092684,0.10601350888346475,Content Relevance
35,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,9,4,1,Neutral,4.0,12,23,5,0.1781541241214559,0.3917089928291619,Email Subject Line
31,F,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.06565553481891484,0.13070587258768618,Sender Name
34,M,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.18623523971934933,0.39990404713966843,Content Format
28,F,Doctor of Osteopathic Medicine,Surgeon,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.09712324828080499,0.10522649852302783,Personalization
33,M,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.2425556438144081,0.3984159587809283,Content Relevance
30,F,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.056218803721695056,0.1280159469633979,Email Subject Line
34,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.2089766250015746,0.38051641154180027,Sender Name
27,F,Doctor of Medicine,Physician,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.05820903631316464,0.11174962107594152,Content Format
33,M,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.17936025950523382,0.3837802669780896,Personalization
26,F,Doctor of Osteopathic Medicine,Surgeon,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.07344706469487675,0.09492289383250377,Content Relevance
29,M,Doctor of Medicine,Physician,25.0,Positive,5,2,1,Neutral,2.0,7,15,3,0.016984476341095206,0.0809095900978751,Email Subject Line
34,F,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.1759332756694422,0.4187493433159964,Sender Name
35,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,9,4,1,Neutral,4.0,12,23,5,0.19564789564283563,0.4049577677184996,Content Format
33,F,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.24167789190874953,0.3909027619607387,Personalization
30,M,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.009186337667677257,0.08745201332424027,Content Relevance
38,F,Doctor of Medicine,Physician,25.0,Positive,7,3,1,Neutral,3.0,10,18,4,0.15772789279067562,0.26457094137418313,Email Subject Line
40,M,Doctor of Dental Medicine,Dentist,30.0,Positive,9,4,1,Neutral,4.0,12,23,5,0.18597468285614782,0.3954437064382921,Content Format
32,F,Doctor of Osteopathic Medicine,Surgeon,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.026355902384151666,0.10755191513231799,Personalization
33,M,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.20657101965923413,0.36991516527956836,Content Relevance
29,F,Doctor of Dental Medicine,Dentist,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.014338106250669502,0.06295982350512697,Sender Name
35,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,9,4,1,Neutral,4.0,12,23,5,0.1782093832537058,0.3815156050118017,Email Subject Line
31,F,Doctor of Medicine,Physician,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.02824369812053079,0.10422368318133625,Content Format
34,M,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.21257411121405118,0.4146612644909115,Personalization
27,F,Doctor of Osteopathic Medicine,Surgeon,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.019851984440895417,0.07588833741902133,Content Relevance
33,M,Doctor of Medicine,Physician,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.20127812781043838,0.3792651828809992,Sender Name
30,F,Doctor of Dental Medicine,Dentist,25.0,Positive,6,2,1,Neutral,2.0,9,17,3,0.04278322386377904,0.10956979209287064,Email Subject Line
34,M,Doctor of Osteopathic Medicine,Surgeon,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.20912591411360357,0.40405246510869186,Content Format
27,F,Doctor of Medicine,Physician,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.036335968964426826,0.13355286625070595,Personalization
33,M,Doctor of Dental Medicine,Dentist,30.0,Positive,8,3,1,Neutral,3.0,11,20,5,0.21823231253619416,0.41733928839151113,Content Relevance
29,F,Doctor of Osteopathic Medicine,Surgeon,20.0,Neutral,2,1,0,Negative,1.0,4,8,2,0.05664182790799314,0.0989412824823443,Sender Name
35,M,Doctor of Medicine,Physician,30.0,Positive,9,4,1,Neutral,4.0,12,23,5,0.1705118743785914,0.4297464340905131,Email Subject Line
